"dataa","flt01","f0104","f0509","f1014","f1519","f2029","f3039","f4049","f5059","f6069","f7079","fmm80","f1019","f2059","f6079"
"2002-11-01",597.505607051031,261.811836969938,82.3519919540474,41.9231750619073,29.6661375636003,28.9805686842853,31.9760176297272,47.3892702812317,89.0931113585234,181.998073959777,335.742674951715,535.272964818511,35.6622730384295,42.3762749336106,236.847043788679
"2002-12-01",554.835797116492,241.985623537014,71.9919520975555,35.7762193409761,27.4056347040629,26.8760764392732,31.1561751114331,43.6192482415696,80.126297264422,167.805093963149,312.521007851187,498.861955620932,31.5007796151905,39.2984632534686,219.410640992515
"2003-01-01",547.50033564151,224.437559223057,60.0784551706087,31.0920495095978,26.9738882553053,27.0622680658857,30.4977140364254,42.7592664205308,77.4889466112269,165.899310298435,315.277623822982,516.101802320993,28.9988690986704,38.7846472537481,219.230985089509
"2003-02-01",488.96152056424,203.590510720583,58.9668367776078,28.6294464866829,24.0674545610472,25.1206331960355,29.0508324689714,41.4188111347159,72.684192173541,152.89497892289,289.39243314219,478.6321097161,26.3110045848801,36.7002045222833,201.621214547882
"2003-03-01",598.424566113581,248.390061475865,67.0551897704451,31.8618035466351,25.6667448357852,26.1206841651439,29.8000130571894,42.4630620866901,73.2229273012973,150.148775588588,276.529392418176,457.665491192359,28.7138710084564,37.5720049606637,195.257360219252
"2003-04-01",805.648345232273,308.90411089629,79.0087521516089,35.5962836128177,27.9457473225163,26.9286895463419,31.1949535582801,43.7505440267837,76.8227321736198,160.512574078294,289.456340540975,484.824010975508,31.7095417540616,39.0526511577465,206.521915899173
"2003-05-01",990.920107232781,334.402311925085,83.3044595254519,37.4673114571924,28.9250661227256,28.1135109310863,32.497968004088,45.9860438857206,83.4149941358694,170.000488917198,321.107054325497,530.342142027632,33.1284135982909,41.2826702790301,223.901299719668
"2003-06-01",931.30768811813,328.405023926652,86.2214651162509,37.8027040957832,30.3235121735413,29.72565795314,34.2612291232018,48.4719695663069,88.6769915808071,175.073364305631,338.358725742875,555.406339896527,34.0045255904248,43.6562072358499,233.300424279097
"2003-07-01",896.462773012787,319.6219412086,82.5242573626588,38.0335771022495,32.0649523089971,32.057607679814,36.4033902603273,51.5599871673404,92.2014498193943,188.698780906379,369.937672102358,607.217940374809,35.0029962589673,46.2729315674529,253.310476320651
"2003-08-01",758.132344125376,268.338888295706,69.1260154010381,31.336299412093,27.4404940482349,27.865251632214,33.1646826461971,47.7007518736391,89.8448699766915,184.23711667278,352.376818387512,569.670465285974,29.3585119999378,42.6850829632592,244.162599413567
"2003-09-01",670.856751137513,267.681915881362,75.1327706686586,33.2644131133909,26.35945433536,27.5955936996338,32.8181413584789,47.5255992391975,86.8156987460886,180.516559764132,346.25034262403,579.769628206444,29.7595257117256,42.0152830758393,239.568372376844
"2003-10-01",656.369350166223,269.950669709746,75.3215190254771,32.585003261983,26.1867775492846,26.2680998542556,31.3666664172795,44.7305688806183,84.1187124804821,180.42406312549,341.174857628674,575.376333219125,29.3377212130861,40.1287148707496,237.690788452133
